Gender,Age,Salary,LocationId,Tenure,Balance,NumProducts,HasCreditCard,IsActive,Geography_France,Geography_Germany,Geography_Spain,Geography_UK,Geography_USA
1,50,120770.75,1,4,165438.26,1,1,0,0,1,0,0,0
0,27,119708.21,1,9,112045.67,1,1,1,0,1,0,0,0
0,39,140469.38,4,3,119827.49379288736,3,1,0,0,0,0,1,0
0,35,25329.48,4,9,119827.49379288736,2,0,0,0,0,0,1,0
1,33,86413.11,5,1,119827.49379288736,2,1,1,0,0,0,0,0
1,52,175843.68,4,3,119827.49379288736,1,1,0,0,0,0,1,0
1,42,143538.51,6,1,129776.72,2,0,1,0,0,0,0,1
0,33,114182.07,4,8,119827.49379288736,2,1,0,0,0,0,1,0
0,24,135768.25,1,6,114948.76,2,0,1,0,1,0,0,0
1,35,176450.19,1,3,119827.49379288736,2,1,1,0,1,0,0,0
0,31,120663.57,6,3,139799.63,1,0,1,0,0,0,0,1
0,45,197789.83,2,2,119827.49379288736,1,0,0,1,0,0,0,0
0,34,175310.38,4,6,119827.49379288736,2,1,1,0,0,0,1,0
1,40,134600.94,4,1,99282.63,1,0,0,0,0,0,1,0
1,43,64515.5,3,5,119827.49379288736,2,1,1,0,0,1,0,0
1,29,108577.97,4,5,119827.49379288736,2,1,0,0,0,0,1,0
0,66,15928.49,1,9,119827.49379288736,1,1,1,0,1,0,0,0
1,22,121894.31,3,5,130056.23,1,0,0,0,0,1,0,0
1,47,48161.18,5,2,119827.49379288736,1,1,0,0,0,0,0,0
1,28,77231.27,3,8,119827.49379288736,2,1,0,0,0,1,0,0
1,34,109496.45,4,4,100054.77,1,1,0,0,0,0,1,0
0,51,36687.11,3,1,87779.83,1,0,1,0,0,1,0,0
0,47,166650.9,3,5,119827.49379288736,1,0,0,0,0,1,0,0
0,74,161326.73,3,3,119827.49379288736,2,1,1,0,0,1,0,0
0,31,16447.6,5,6,119827.49379288736,1,1,1,0,0,0,0,0
1,45,150856.38,2,0,130170.82,2,1,0,1,0,0,0,0
1,51,152479.64,5,5,135506.58,3,1,1,0,0,0,0,0
1,43,80262.91,3,1,92350.36,1,0,1,0,0,1,0,0
1,65,190419.81,4,7,134714.7,2,0,1,0,0,0,1,0
0,24,11638.17,2,3,34547.82,1,1,1,1,0,0,0,0
0,51,173989.47,6,3,119827.49379288736,1,1,0,0,0,0,0,1
1,34,68562.26,2,4,88815.56,2,1,0,1,0,0,0,0
0,40,161154.85,3,7,96202.32,1,0,0,0,0,1,0,0
1,32,198894.42,6,9,123938.6,2,1,0,0,0,0,0,1
1,39,27231.26,6,7,108055.1,2,1,0,0,0,0,0,1
0,29,27359.19,1,9,119827.49379288736,2,1,0,0,1,0,0,0
1,30,75285.47,2,2,116295.29,1,1,0,1,0,0,0,0
1,68,35865.44,1,6,112595.85,1,1,0,0,1,0,0,0
0,35,1713.1,6,3,99587.43,1,1,1,0,0,0,0,1
1,24,46170.75,1,4,95741.75,1,1,0,0,1,0,0,0
1,36,42581.04,4,7,115462.02,1,0,1,0,0,0,1,0
0,41,38270.47,6,5,92467.58,1,1,0,0,0,0,0,1
1,36,133807.77,6,9,108546.16,3,1,0,0,0,0,0,1
1,39,76884.05,6,4,119827.49379288736,1,1,0,0,0,0,0,1
1,34,60584.33,2,9,119827.49379288736,1,1,0,1,0,0,0,0
0,39,102763.69,3,5,119827.49379288736,2,0,0,0,0,1,0,0
1,32,22375.14,5,7,178011.5,2,1,0,0,0,0,0,0
0,41,148848.76,2,8,109153.96,3,1,1,1,0,0,0,0
1,66,74580.8,4,7,119827.49379288736,2,1,1,0,0,0,1,0
0,36,81999.53,4,6,83947.12,2,1,0,0,0,0,1,0
0,34,153727.32,5,10,129417.82,1,1,0,0,0,0,0,0
1,38,176318.27,2,3,98205.77,1,1,0,1,0,0,0,0
0,43,23970.13,6,8,125338.8,2,1,0,0,0,0,0,1
0,34,75503.6,6,1,119827.49379288736,1,1,1,0,0,0,0,1
1,34,6534.18,2,9,119827.49379288736,2,0,0,1,0,0,0,0
1,54,172601.62,2,4,118614.6,2,1,1,1,0,0,0,0
1,28,126561.07,5,8,119827.49379288736,2,1,0,0,0,0,0,0
1,45,74005.04,6,4,131038.14,1,1,0,0,0,0,0,1
0,41,147606.71,6,4,119827.49379288736,2,0,1,0,0,0,0,1
1,32,52710.7,3,8,197436.82,1,1,1,0,0,1,0,0
0,35,185662.84,5,1,139979.07,1,1,0,0,0,0,0,0
1,34,31933.06,1,9,119827.49379288736,2,1,1,0,1,0,0,0
0,35,135287.74,2,5,166492.48,1,1,0,1,0,0,0,0
0,41,36242.19,6,4,112152.89,1,0,1,0,0,0,0,1
0,31,145567.34,2,6,105864.6,2,1,0,1,0,0,0,0
1,57,114448.77,5,1,119827.49379288736,2,1,1,0,0,0,0,0
1,35,122254.86,4,2,133161.95,1,0,1,0,0,0,1,0
0,30,141148.21,1,5,156771.68,1,1,1,0,1,0,0,0
1,37,136129.49,1,8,151226.18,2,1,1,0,1,0,0,0
0,41,169183.66,3,4,90757.64,2,0,1,0,0,1,0,0
1,32,78896.59,3,9,120879.73,2,0,1,0,0,1,0,0
1,22,144385.54,4,3,119827.49379288736,1,1,1,0,0,0,1,0
0,39,14279.44,4,5,166733.92,2,1,0,0,0,0,1,0
0,57,84106.17,3,7,119827.49379288736,1,0,0,0,0,1,0,0
1,33,34215.58,1,5,100116.82,1,1,0,0,1,0,0,0
1,39,116748.14,2,5,119827.49379288736,2,0,0,1,0,0,0,0
0,27,14546.76,5,2,119827.49379288736,2,1,0,0,0,0,0,0
1,33,184954.11,5,6,119827.49379288736,2,1,0,0,0,0,0,0
1,66,131970.86,1,5,115654.47,2,1,1,0,1,0,0,0
1,34,1561.58,2,8,147833.3,2,0,1,1,0,0,0,0
0,45,50610.62,3,1,97486.15,2,1,0,0,0,1,0,0
1,29,131712.51,2,4,98955.87,1,0,1,1,0,0,0,0
0,34,61251.25,5,2,119827.49379288736,2,1,0,0,0,0,0,0
1,34,19687.99,2,9,152806.74,1,1,0,1,0,0,0,0
1,29,12186.83,2,10,119827.49379288736,2,1,0,1,0,0,0,0
0,43,170563.73,4,5,153313.67,1,0,0,0,0,0,1,0
1,26,121551.93,3,1,119827.49379288736,2,0,0,0,0,1,0,0
1,37,82647.65,5,6,119827.49379288736,2,1,1,0,0,0,0,0
0,26,169654.57,3,7,123709.46,2,1,1,0,0,1,0,0
0,39,100791.36,6,7,171646.76,1,0,1,0,0,0,0,1
1,32,116969.73,6,8,121240.76,1,1,0,0,0,0,0,1
1,25,119425.94,4,6,119827.49379288736,2,1,0,0,0,0,1,0
0,40,10712.82,6,7,119827.49379288736,2,1,0,0,0,0,0,1
0,29,129209.09,5,10,73194.52,2,1,1,0,0,0,0,0
0,37,80985.88,6,6,81070.34,2,1,0,0,0,0,0,1
0,38,110472.12,6,4,119624.54,2,1,1,0,0,0,0,1
1,18,27308.58,1,6,119827.49379288736,2,1,1,0,1,0,0,0
1,37,188366.04,5,2,90432.92,1,1,1,0,0,0,0,0
0,32,106851.7,6,1,119827.49379288736,1,1,0,0,0,0,0,1
0,38,132809.18,1,9,119827.49379288736,2,1,1,0,1,0,0,0
0,45,19482.5,4,2,122311.21,1,1,1,0,0,0,1,0
0,54,83715.66,5,4,125456.07,1,1,0,0,0,0,0,0
0,31,33828.64,3,8,122021.92,2,1,0,0,0,1,0,0
0,32,43595.9,2,10,92041.87,1,1,1,1,0,0,0,0
0,29,98998.61,3,6,119827.49379288736,2,1,1,0,0,1,0,0
0,34,46038.28,6,8,100359.54,1,0,0,0,0,0,0,1
1,42,86945.0,2,7,139070.51,1,1,1,1,0,0,0,0
0,37,111175.09,2,9,133292.45,1,1,0,1,0,0,0,0
1,28,125422.66,3,8,119859.52,2,1,0,0,0,1,0,0
1,28,179056.23,3,2,115062.61,1,1,0,0,0,1,0,0
0,40,747.88,3,7,104449.8,1,1,1,0,0,1,0,0
0,21,164966.27,5,6,97956.5,1,1,1,0,0,0,0,0
1,36,19231.98,3,6,119827.49379288736,2,0,1,0,0,1,0,0
1,40,101089.76,1,8,83015.71,1,1,0,0,1,0,0,0
0,28,143481.85,5,5,91938.31,1,1,0,0,0,0,0,0
1,24,169653.32,1,1,119827.49379288736,1,1,1,0,1,0,0,0
0,32,93155.75,4,9,119827.49379288736,2,1,1,0,0,0,1,0
1,40,47886.44,2,6,119827.49379288736,1,1,1,1,0,0,0,0
0,35,76637.38,2,0,119827.49379288736,2,0,0,1,0,0,0,0
0,34,140268.45,1,6,119827.49379288736,1,1,1,0,1,0,0,0
1,30,152210.81,6,2,176166.56,2,1,1,0,0,0,0,1
1,56,169498.61,5,9,119827.49379288736,2,1,1,0,0,0,0,0
0,39,191207.03,2,2,119827.49379288736,2,0,0,1,0,0,0,0
0,42,48498.19,3,2,164307.77,1,1,0,0,0,1,0,0
0,37,13935.53,4,10,119827.49379288736,2,1,1,0,0,0,1,0
0,28,50911.41,3,3,109118.05,2,0,1,0,0,1,0,0
0,38,184796.84,2,2,48387.0,1,1,0,1,0,0,0,0
1,25,88728.47,6,9,119827.49379288736,2,0,1,0,0,0,0,1
1,28,40357.39,3,1,119827.49379288736,1,1,0,0,0,1,0,0
0,35,77178.42,1,4,121520.36,1,0,0,0,1,0,0,0
1,41,22750.17,2,5,119827.49379288736,2,1,1,1,0,0,0,0
1,28,54144.01,1,5,138668.18,1,1,1,0,1,0,0,0
1,24,89734.7,1,1,116084.32,1,1,0,0,1,0,0,0
1,31,43196.5,6,8,119827.49379288736,2,1,1,0,0,0,0,1
0,33,196260.3,3,8,122528.18,1,1,0,0,0,1,0,0
0,35,125986.18,5,4,119827.49379288736,2,0,0,0,0,0,0,0
1,30,43250.54,6,8,134497.27,1,0,0,0,0,0,0,1
0,41,88783.59,5,9,152243.57,1,1,1,0,0,0,0,0
0,35,88798.02,2,1,82231.51,2,1,0,1,0,0,0,0
0,44,16874.92,1,2,58781.76,1,1,0,0,1,0,0,0
0,36,23305.85,3,8,166287.85,1,1,1,0,0,1,0,0
0,34,479.54,2,8,127095.14,2,0,0,1,0,0,0,0
1,33,58844.84,5,3,144962.74,1,1,0,0,0,0,0,0
1,38,128481.5,4,9,115442.19,2,1,0,0,0,0,1,0
1,50,184839.7,4,7,119827.49379288736,1,1,0,0,0,0,1,0
1,42,112979.6,5,5,41473.33,1,1,0,0,0,0,0,0
0,30,97045.32,6,10,176173.52,1,1,0,0,0,0,0,1
0,43,97910.06,4,3,152063.59,2,1,0,0,0,0,1,0
0,59,163141.18,3,7,91680.1,2,1,0,0,0,1,0,0
1,31,150218.11,3,9,103837.75,1,1,1,0,0,1,0,0
1,42,97906.38,4,0,77992.97,2,1,1,0,0,0,1,0
1,24,183515.13,5,7,109558.36,1,1,0,0,0,0,0,0
1,34,107876.91,4,9,119827.49379288736,2,1,0,0,0,0,1,0
1,34,31802.92,4,7,132944.53,1,1,1,0,0,0,1,0
0,34,74694.41,6,3,105588.66,1,0,1,0,0,0,0,1
1,36,183058.51,5,8,188241.05,2,0,0,0,0,0,0,0
0,36,56092.51,5,5,148667.81,2,1,0,0,0,0,0,0
1,52,73585.18,5,7,119827.49379288736,1,0,1,0,0,0,0,0
0,32,126517.46,2,4,109421.13,2,1,1,1,0,0,0,0
1,37,187816.59,5,2,119827.49379288736,2,0,1,0,0,0,0,0
1,38,59280.79,3,2,62276.99,1,1,1,0,0,1,0,0
1,38,15859.95,6,9,126265.88,2,0,0,0,0,0,0,1
1,63,27166.75,3,0,119827.49379288736,2,0,1,0,0,1,0,0
0,44,163558.36,5,3,105206.7,2,1,1,0,0,0,0,0
1,48,170893.85,4,4,119827.49379288736,2,1,1,0,0,0,1,0
0,39,148948.52,3,6,94631.26,2,1,1,0,0,1,0,0
1,39,63705.9,4,5,117469.91,2,0,0,0,0,0,1,0
0,25,73857.94,3,8,141825.88,1,1,1,0,0,1,0,0
1,33,30804.68,3,3,119827.49379288736,2,1,0,0,0,1,0,0
0,34,113046.81,3,7,109564.1,1,0,1,0,0,1,0,0
1,51,85250.77,2,3,88827.53,1,0,0,1,0,0,0,0
1,29,73686.75,3,2,95984.69,2,1,1,0,0,1,0,0
0,34,138113.71,4,9,119827.49379288736,2,1,0,0,0,0,1,0
0,36,172363.52,2,0,126606.63,2,1,1,1,0,0,0,0
0,58,139761.25,2,8,93173.88,1,1,1,1,0,0,0,0
1,43,16929.41,4,6,165048.5,3,1,0,0,0,0,1,0
1,42,177938.52,6,10,119827.49379288736,2,1,0,0,0,0,0,1
0,73,133210.44,1,8,137732.23,2,1,1,0,1,0,0,0
0,50,106061.47,6,1,121498.11,2,0,1,0,0,0,0,1
1,55,106202.07,6,2,119827.49379288736,1,1,1,0,0,0,0,1
0,41,131300.68,1,1,119827.49379288736,2,0,1,0,1,0,0,0
0,37,153535.27,2,9,157098.52,1,1,1,1,0,0,0,0
0,34,37898.91,2,4,109699.08,1,1,1,1,0,0,0,0
1,33,158268.84,6,2,119827.49379288736,2,1,1,0,0,0,0,1
0,32,157648.12,1,7,79523.13,1,0,1,0,1,0,0,0
1,37,67840.81,6,2,119827.49379288736,2,0,1,0,0,0,0,1
0,39,17603.81,2,5,119827.49379288736,2,1,1,1,0,0,0,0
1,41,128528.83,1,1,40488.76,1,1,0,0,1,0,0,0
1,49,195053.58,1,2,116933.11,1,1,0,0,1,0,0,0
1,37,142454.77,2,6,119827.49379288736,2,0,0,1,0,0,0,0
0,52,141959.11,2,8,143542.36,3,1,0,1,0,0,0,0
0,34,158668.87,6,5,76001.57,1,1,1,0,0,0,0,1
1,33,85411.01,4,7,119827.49379288736,2,1,1,0,0,0,1,0
1,38,95483.48,2,4,119827.49379288736,1,1,0,1,0,0,0,0
0,43,7611.61,6,2,120847.11,1,1,0,0,0,0,0,1
0,33,130824.57,4,8,91301.72,1,0,1,0,0,0,1,0
0,37,129107.59,1,3,95022.57,1,1,1,0,1,0,0,0
1,51,66586.56,1,4,119827.49379288736,3,1,1,0,1,0,0,0
0,39,199808.1,2,9,100116.67,1,1,1,1,0,0,0,0
0,37,25803.59,4,9,101455.7,1,1,0,0,0,0,1,0
0,40,196278.32,6,7,117304.29,1,0,0,0,0,0,0,1
0,38,35701.06,6,9,119827.49379288736,2,1,1,0,0,0,0,1
1,38,80006.65,4,1,119827.49379288736,2,1,1,0,0,0,1,0
1,38,77866.91,4,1,87202.38,1,1,1,0,0,0,1,0
0,29,52709.55,5,5,119827.49379288736,2,0,1,0,0,0,0,0
1,35,86937.2,2,7,129717.3,2,0,0,1,0,0,0,0
0,29,115985.38,6,3,82344.84,1,0,1,0,0,0,0,1
0,39,120612.11,6,4,139723.9,1,1,1,0,0,0,0,1
1,36,98413.1,4,1,113110.26,1,1,0,0,0,0,1,0
1,38,171430.16,4,6,140752.06,2,0,1,0,0,0,1,0
1,26,145011.62,1,8,112972.57,1,1,0,0,1,0,0,0
1,44,79792.3,3,3,124655.59,2,0,1,0,0,1,0,0
0,24,127560.77,5,2,109483.54,2,0,1,0,0,0,0,0
0,32,28797.32,6,7,119827.49379288736,1,1,0,0,0,0,0,1
1,37,94728.49,3,10,150525.8,1,1,1,0,0,1,0,0
0,39,131852.01,2,7,165610.41,2,0,0,1,0,0,0,0
1,37,55775.84,1,4,119827.49379288736,1,1,1,0,1,0,0,0
0,41,121299.14,2,9,119827.49379288736,1,1,0,1,0,0,0,0
1,34,182262.66,1,8,106486.66,2,0,1,0,1,0,0,0
0,26,199638.56,6,1,119827.49379288736,2,1,1,0,0,0,0,1
1,27,192427.16,5,5,130231.8,2,1,1,0,0,0,0,0
1,28,147090.9,5,6,165798.1,1,1,0,0,0,0,0,0
1,35,23864.21,4,6,116662.96,2,1,1,0,0,0,1,0
1,38,76076.2,3,7,111484.88,1,1,1,0,0,1,0,0
1,35,10488.44,5,6,96423.84,1,1,0,0,0,0,0,0
0,35,53718.28,1,0,155470.55,1,1,1,0,1,0,0,0
1,38,60988.21,3,1,114141.64,1,1,1,0,0,1,0,0
1,42,41823.22,6,8,119827.49379288736,2,0,1,0,0,0,0,1
1,36,164253.35,1,5,119827.49379288736,2,1,0,0,1,0,0,0
1,30,21852.91,6,2,119755.0,1,1,1,0,0,0,0,1
1,29,12510.53,2,5,119827.49379288736,2,0,0,1,0,0,0,0
0,65,6930.17,1,2,151659.52,2,0,1,0,1,0,0,0
0,39,2401.26,2,7,119827.49379288736,2,1,0,1,0,0,0,0
1,29,108684.65,3,6,119827.49379288736,2,1,1,0,0,1,0,0
1,24,182257.61,2,5,119827.49379288736,2,1,0,1,0,0,0,0
1,37,89099.18,1,8,154712.58,2,1,0,0,1,0,0,0
0,45,11514.39,6,2,119827.49379288736,2,0,0,0,0,0,0,1
1,32,180622.02,5,4,119827.49379288736,1,1,1,0,0,0,0,0
0,32,80823.02,6,3,119827.49379288736,1,1,1,0,0,0,0,1
1,41,116704.25,6,7,113980.21,1,1,1,0,0,0,0,1
1,70,99503.19,1,1,119827.49379288736,2,0,0,0,1,0,0,0
0,38,5684.17,2,5,118590.41,1,1,1,1,0,0,0,0
1,42,8567.18,3,2,92616.64,2,1,0,0,0,1,0,0
0,38,113597.64,3,10,119827.49379288736,2,0,1,0,0,1,0,0
1,25,73873.65,1,4,119827.49379288736,2,1,1,0,1,0,0,0
0,74,66732.63,6,8,114888.74,2,1,1,0,0,0,0,1
0,47,165849.49,4,10,139756.12,1,1,0,0,0,0,1,0
1,46,5771.56,2,0,105969.42,1,1,0,1,0,0,0,0
1,40,194416.58,4,4,119827.49379288736,2,0,1,0,0,0,1,0
1,32,125782.29,2,10,114084.6,1,0,1,1,0,0,0,0
0,49,89972.25,2,4,119827.49379288736,2,0,1,1,0,0,0,0
1,29,79495.01,2,8,127269.75,1,0,1,1,0,0,0,0
0,32,110593.62,3,6,71187.24,1,1,1,0,0,1,0,0
0,42,6409.55,5,2,109052.04,2,1,0,0,0,0,0,0
1,52,53793.1,4,5,116497.31,3,0,0,0,0,0,1,0
1,34,52796.31,5,6,119827.49379288736,1,0,1,0,0,0,0,0
0,28,95957.09,2,9,119827.49379288736,2,1,0,1,0,0,0,0
1,38,115927.85,1,0,138131.34,1,0,1,0,1,0,0,0
0,67,177783.04,4,1,119827.49379288736,2,1,1,0,0,0,1,0
0,43,113276.46,4,6,86053.52,2,1,1,0,0,0,1,0
1,32,40861.55,5,4,147307.91,1,0,1,0,0,0,0,0
1,32,175252.78,2,9,119827.49379288736,2,1,0,1,0,0,0,0
1,48,78702.98,6,9,118317.27,4,0,0,0,0,0,0,1
0,29,61048.53,1,3,130830.22,1,1,0,0,1,0,0,0
0,31,5719.11,6,9,119827.49379288736,1,0,1,0,0,0,0,1
0,23,90494.72,1,6,166070.48,2,0,0,0,1,0,0,0
1,23,18364.19,2,2,119827.49379288736,2,1,0,1,0,0,0,0
1,47,182247.77,1,2,119827.49379288736,2,1,1,0,1,0,0,0
0,31,94715.24,6,3,110581.29,1,1,1,0,0,0,0,1
1,36,174921.91,2,2,113877.23,2,1,0,1,0,0,0,0
1,45,158264.62,2,2,106376.85,1,0,1,1,0,0,0,0
1,36,84635.64,6,6,119827.49379288736,2,0,0,0,0,0,0,1
1,51,171045.35,2,10,119827.49379288736,3,1,0,1,0,0,0,0
0,29,154700.61,4,1,138740.24,2,0,0,0,0,0,1,0
1,49,36292.94,5,6,132623.76,3,1,0,0,0,0,0,0
0,39,10662.58,3,6,119827.49379288736,1,0,0,0,0,1,0,0
0,40,123218.81,4,5,93499.82,2,0,0,0,0,0,1,0
0,39,87684.93,3,8,129401.87,1,1,1,0,0,1,0,0
1,33,2010.98,6,2,119827.49379288736,2,1,0,0,0,0,0,1
0,31,89087.4,6,4,119827.49379288736,2,1,1,0,0,0,0,1
1,35,36923.67,5,0,181821.96,2,0,1,0,0,0,0,0
0,57,66652.75,1,2,119827.49379288736,3,1,0,0,1,0,0,0
0,46,177431.59,4,1,119827.49379288736,3,1,1,0,0,0,1,0
0,42,75248.75,2,6,88324.31,2,1,0,1,0,0,0,0
0,31,13998.88,5,5,119827.49379288736,2,0,1,0,0,0,0,0
0,49,184474.72,6,10,119827.49379288736,1,1,0,0,0,0,0,1
1,43,63833.09,2,5,119827.49379288736,1,0,0,1,0,0,0,0
1,46,55701.62,2,5,119827.49379288736,1,1,1,1,0,0,0,0
1,25,102083.78,5,7,119827.49379288736,2,1,0,0,0,0,0,0
0,37,70810.8,5,1,119827.49379288736,2,1,0,0,0,0,0,0
1,36,8559.66,3,3,119827.49379288736,2,1,1,0,0,1,0,0
0,42,37914.12,2,3,83492.07,2,1,0,1,0,0,0,0
1,41,63337.19,1,7,139706.31,1,1,0,0,1,0,0,0
1,28,27149.27,4,9,160858.13,2,1,0,0,0,0,1,0
1,33,113845.19,5,3,144427.96,2,1,0,0,0,0,0,0
1,50,124151.37,1,6,121818.84,2,0,1,0,1,0,0,0
1,54,49954.79,2,3,134388.11,1,0,0,1,0,0,0,0
1,32,102416.84,3,3,107594.11,2,1,1,0,0,1,0,0
1,38,78744.39,3,9,119827.49379288736,1,1,0,0,0,1,0,0
1,60,2085.32,5,2,119827.49379288736,2,0,1,0,0,0,0,0
1,30,2704.09,5,5,111375.32,2,1,0,0,0,0,0,0
0,31,44001.11,1,0,106942.08,1,0,1,0,1,0,0,0
0,32,15796.66,1,6,114512.59,1,1,0,0,1,0,0,0
0,38,12182.15,2,6,121021.05,1,1,1,1,0,0,0,0
1,38,55034.02,4,1,94456.0,2,0,1,0,0,0,1,0
1,45,32903.93,4,7,107023.03,1,1,0,0,0,0,1,0
0,34,187011.96,6,9,101861.36,2,0,0,0,0,0,0,1
1,26,51099.56,6,7,147527.03,1,0,0,0,0,0,0,1
1,33,117547.76,4,4,79281.61,1,1,0,0,0,0,1,0
0,37,20968.88,4,8,119827.49379288736,2,1,0,0,0,0,1,0
1,48,85646.41,1,5,87070.23,1,0,1,0,1,0,0,0
1,43,194691.95,2,7,134919.85,1,1,0,1,0,0,0,0
1,33,130726.96,1,1,119827.49379288736,1,1,0,0,1,0,0,0
1,42,77502.56,4,2,16893.59,1,1,1,0,0,0,1,0
1,44,100137.7,3,2,111095.58,2,1,0,0,0,1,0,0
